1,2.25,2022-11-06 08:52:21,2565d8ee-5f68-40c2-9ccc-1d640432818c
2,5.4,2022-11-06 09:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
3,4.3,2022-11-06 10:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
4,3.9,2022-11-06 11:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
5,0,2022-11-06 12:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
6,0,2022-11-06 13:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
7,0,2022-11-06 14:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
8,0,2022-11-06 15:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
9,0,2022-11-06 16:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
10,4.5,2022-11-06 17:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
11,5.6,2022-11-06 18:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
12,4.7,2022-11-06 19:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
13,3.8,2022-11-06 20:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
14,0,2022-11-06 21:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
15,0,2022-11-06 22:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
16,0,2022-11-06 23:52:25,2565d8ee-5f68-40c2-9ccc-1d640432818c
17,0,2022-11-06 06:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
18,1.3,2022-11-06 06:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
19,1.5,2022-11-06 07:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
20,2,2022-11-06 08:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
21,0.5,2022-11-06 09:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
22,0,2022-11-06 10:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
23,0,2022-11-06 11:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
24,0,2022-11-06 12:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
25,0,2022-11-06 13:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
26,0,2022-11-06 14:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
27,1.7,2022-11-06 15:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
28,1.3,2022-11-06 16:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
29,1.5,2022-11-06 17:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
30,0,2022-11-06 18:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
31,0,2022-11-06 19:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
32,0,2022-11-06 20:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
33,0,2022-11-06 21:57:19,3ace9092-7fa6-485a-9b9f-d52a7d71d6a3
34,2.25,2022-11-06 08:52:21,d602e8f4-67d9-491b-84b0-156145546f02
35,2.4,2022-11-06 09:52:25,d602e8f4-67d9-491b-84b0-156145546f02
36,2.3,2022-11-06 10:52:25,d602e8f4-67d9-491b-84b0-156145546f02
37,3,2022-11-06 11:52:25,d602e8f4-67d9-491b-84b0-156145546f02
38,1.2,2022-11-06 12:52:25,d602e8f4-67d9-491b-84b0-156145546f02
39,1.9,2022-11-06 13:52:25,d602e8f4-67d9-491b-84b0-156145546f02
40,3.6,2022-11-06 14:52:25,d602e8f4-67d9-491b-84b0-156145546f02
41,3.8,2022-11-06 15:52:25,d602e8f4-67d9-491b-84b0-156145546f02
42,2.7,2022-11-06 16:52:25,d602e8f4-67d9-491b-84b0-156145546f02
43,4,2022-11-06 17:52:25,d602e8f4-67d9-491b-84b0-156145546f02
44,3.1,2022-11-06 18:52:25,d602e8f4-67d9-491b-84b0-156145546f02
45,3.2,2022-11-06 19:52:25,d602e8f4-67d9-491b-84b0-156145546f02
46,3.12,2022-11-06 20:52:25,d602e8f4-67d9-491b-84b0-156145546f02
47,2.5,2022-11-06 21:52:25,d602e8f4-67d9-491b-84b0-156145546f02
48,2.1,2022-11-06 22:52:25,d602e8f4-67d9-491b-84b0-156145546f02
49,2,2022-11-06 23:52:25,d602e8f4-67d9-491b-84b0-156145546f02
50,2.1,2022-11-06 00:52:25,d602e8f4-67d9-491b-84b0-156145546f02
51,2,2022-11-06 01:52:25,d602e8f4-67d9-491b-84b0-156145546f02
52,2.12,2022-11-06 02:52:25,d602e8f4-67d9-491b-84b0-156145546f02
53,2.25,2022-11-06 03:52:25,d602e8f4-67d9-491b-84b0-156145546f02
54,2.12,2022-11-06 04:52:25,d602e8f4-67d9-491b-84b0-156145546f02
55,2.23,2022-11-06 05:52:25,d602e8f4-67d9-491b-84b0-156145546f02
56,2.2,2022-11-06 06:52:25,d602e8f4-67d9-491b-84b0-156145546f02
57,2.18,2022-11-06 07:52:25,d602e8f4-67d9-491b-84b0-156145546f02
